hostname,timestamp,power_watts
dgxanode04,2026-02-05 09:50:00,90301.77
dgxanode04,2026-02-05 09:55:00,89506.0
dgxanode04,2026-02-05 10:00:00,91553.78
dgxanode04,2026-02-05 10:05:00,87270.78
dgxanode04,2026-02-05 10:10:00,91421.68
dgxanode04,2026-02-05 10:15:00,89487.34
dgxanode04,2026-02-05 10:20:00,90119.72
dgxanode04,2026-02-05 10:25:00,90708.35
dgxanode04,2026-02-05 10:30:00,91556.88
dgxanode04,2026-02-05 10:35:00,89257.24
dgxanode04,2026-02-05 10:40:00,91900.2
dgxanode04,2026-02-05 10:45:00,91386.6
dgxanode04,2026-02-05 10:50:00,88928.94
dgxanode04,2026-02-05 10:55:00,92668.75
dgxanode04,2026-02-05 11:00:00,88634.14
dgxanode04,2026-02-05 11:05:00,91971.35
dgxanode04,2026-02-05 11:10:00,90257.93
dgxanode04,2026-02-05 11:15:00,91111.4
dgxanode04,2026-02-05 11:20:00,83459.27
dgxanode04,2026-02-05 11:25:00,91061.94
dgxanode04,2026-02-05 11:30:00,89294.37
dgxanode04,2026-02-05 11:35:00,90985.56
dgxanode04,2026-02-05 11:40:00,90859.79
dgxanode04,2026-02-05 11:45:00,90918.22
dgxanode04,2026-02-05 11:50:00,91662.64
dgxanode04,2026-02-05 11:55:00,91271.06
dgxanode04,2026-02-05 12:00:00,89425.83
dgxanode04,2026-02-05 12:05:00,92467.45
dgxanode04,2026-02-05 12:10:00,90375.12
dgxanode04,2026-02-05 12:15:00,90485.23
dgxanode04,2026-02-05 12:20:00,89314.03
dgxanode04,2026-02-05 12:25:00,92256.53
dgxanode04,2026-02-05 12:30:00,89946.75
dgxanode04,2026-02-05 12:35:00,89072.69
dgxanode04,2026-02-05 12:40:00,89980.88
dgxanode04,2026-02-05 12:45:00,93632.58
dgxanode04,2026-02-05 12:50:00,90190.83
dgxanode04,2026-02-05 12:55:00,89852.8
dgxanode04,2026-02-05 13:00:00,91904.23
dgxanode04,2026-02-05 13:05:00,88196.33
dgxanode04,2026-02-05 13:10:00,92308.75
dgxanode04,2026-02-05 13:15:00,92585.75
dgxanode04,2026-02-05 13:20:00,68572.7
dgxanode04,2026-02-05 13:25:00,64690.3
dgxanode04,2026-02-05 13:30:00,87349.34
dgxanode04,2026-02-05 13:35:00,101780.79
dgxanode04,2026-02-05 13:40:00,117503.08
dgxanode04,2026-02-05 13:45:00,100020.06
dgxanode04,2026-02-05 13:50:00,89556.51
dgxanode04,2026-02-05 13:55:00,92173.99
dgxanode04,2026-02-05 14:00:00,91737.47
dgxanode04,2026-02-05 14:05:00,92792.58
dgxanode04,2026-02-05 14:10:00,91591.55
dgxanode04,2026-02-05 14:15:00,91018.96
dgxanode04,2026-02-05 14:20:00,91991.95
dgxanode04,2026-02-05 14:25:00,92010.04
dgxanode04,2026-02-05 14:30:00,94460.46
dgxanode04,2026-02-05 14:35:00,90331.02
dgxanode04,2026-02-05 14:40:00,92325.1
dgxanode04,2026-02-05 14:45:00,90110.13
dgxanode04,2026-02-05 14:50:00,93857.46
dgxanode04,2026-02-05 14:55:00,89654.83
dgxanode04,2026-02-05 15:00:00,91867.37
dgxanode04,2026-02-05 15:05:00,92941.62
dgxanode04,2026-02-05 15:10:00,88998.72
dgxanode04,2026-02-05 15:15:00,89639.23
dgxanode04,2026-02-05 15:20:00,91713.82
dgxanode04,2026-02-05 15:25:00,90828.48
dgxanode04,2026-02-05 15:30:00,75825.95
dgxanode04,2026-02-05 15:35:00,73456.31
dgxanode04,2026-02-05 15:40:00,98024.63
dgxanode04,2026-02-05 15:45:00,102880.59
dgxanode04,2026-02-05 15:50:00,106182.89
dgxanode04,2026-02-05 15:55:00,107925.09
dgxanode04,2026-02-05 16:00:00,104520.26
dgxanode04,2026-02-05 16:05:00,104467.57
dgxanode04,2026-02-05 16:10:00,108038.49
dgxanode04,2026-02-05 16:15:00,104926.15
dgxanode04,2026-02-05 16:20:00,104109.86
dgxanode04,2026-02-05 16:25:00,103971.5
dgxanode04,2026-02-05 16:30:00,105957.74
dgxanode04,2026-02-05 16:35:00,106979.29
dgxanode04,2026-02-05 16:40:00,92115.46
dgxanode04,2026-02-05 16:45:00,103869.67
dgxanode04,2026-02-05 16:50:00,102992.87
